Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Romantic Relationships,Mental Health,,Anticipating a Response,"You and your partner have different spending habits, which leads to frequent arguments and financial tension. This tension has started to impact your relationship, and you feel like you are growing resentful of one another. If you share how you're feeling, it might lead to more arguments.","You decide to open up and share, and they do the same. As you talk, you feel understood.",Did sharing how you feel lead to more arguments?,No,Yes,./images/Anticipating_a_Response.jpeg,1
Romantic Relationships,,,Blind Date,"You are going on a blind date and just arrived at the restaurant. As you walk up to the entrance, you suddenly feel very nervous and turn around to leave, but quickly change your mind. At this moment, your date arrives and looks very offended.","At the end of the date, you realize that it is very common to feel a little uneasy in situations like these. Having explained and apologized, you believe that your date found your hesitation funny and endearing.",Your date's impression of you is probably ...,Positive,Negative.,./images/Blind_Date.jpeg,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
Social Situations,,,Theater group thoughts,"You are on the committee for a local community theater, which is planning a new productions. At the first meeting, the director asks you for ideas about which play to perform. Everybody pauses after you say your ideas, and you think the others find your thoughts boring. ",N/A,Everyone probably believes ...,You have terrible ideas.,You have innovative ideas.,./images/Theater_group_thoughts.jpeg,1
