Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Romantic Relationships,,,Dating a Stranger ,"You are getting ready to go on a first date with someone you haven't previously met in person. You believe you two have a lot in common, but you are worried that sometimes you become very shy when you are nervous. As you think about going on your first date you do not think that you will make a bad impression, and you believe that your date will think you are interesting.",,Your date will probably notice,How much you two enjoy the same hobbies.,How little you have to say.,https://drive.google.com/file/d/1OqGmVImRpdqbNcBelAsODrEYrVb-M9l3/view?usp=sharing,1
Romantic Relationships,,,Asking Someone Out ,"You are on a long train ride, and really hit it off with an attractive person sitting next to you. As the train ride nears an end, you think about how you would really like to see this person again, but you worry that you might come off as being too forward. When you consider asking the other passenger out for coffee, you are fairly sure this person will accept.",,"If you ask the other person to coffee, the other passenger will probably","Accept your offer, because you two had a great time on the train.","Turn you down, because they're not interested in seeing you again.",https://drive.google.com/file/d/15srXsAeVJClkXGw605dER3-IGHMQBtlr/view?usp=sharing,1
Romantic Relationships,,,Online Dating,"Your friend has convinced you to sign up on an online dating website. You look over your profile and though you think it reflects who you are very well, you worry if it displays the kind of qualities people are looking for online.  Thinking about your prospects of finding someone online, you believe that your chances of meeting someone soon are high.",,You think that people on the site will probably,Respond well to your profile.,Completely ignore you.,https://drive.google.com/file/d/1WsJNbwRJFWHCFhcRml0G0WDuwYREb7eQ/view?usp=sharing,1
Romantic Relationships,,,Long-Term Relationship,"Your significant other, whom you have been dating for a few years, wants to talk about where your relationship is going. This is the first time you have dated someone for such a long time. You see your relationship growing stronger.",,"When you think about your current relationship, you think that it will probably:",Develop into something even more meaningful to you.,End like all the rest have.,https://drive.google.com/file/d/14E87lNQCbYQYaw2WEZUgqpLVllxzh0qo/view?usp=sharing,1
Romantic Relationships,,,Stress in Your Relationship,"You are planning your wedding with your fiancé. Planning your wedding has sometimes put stress on your relationship, and you and your fiancé have had a few arguments during the process. Once the wedding is over after everything that has happened, you think you and your spouse will feel close again.",,"After the wedding, you and your spouse are likely to","Feel a lot less stressed, and see eye-to-eye more.","Keep fighting, straining your relationship. ",https://drive.google.com/file/d/12we_hPc3VBlERJpy5lceauE4EbnAmMSA/view?usp=sharing,1
Romantic Relationships,,,Yourself in Old Age ,"You are walking through the park, and you see an elderly couple walking hand in hand. You begin thinking about your own life and imagine yourself at their age. When you think about yourself as an older person, you imagine yourself in a relationship.",,You see your older self,With a loving partner.,Lonely without a significant other.,https://drive.google.com/file/d/1rfdNbyue77FhReHqNOVYVUC1cUTvMa-9/view?usp=sharing,1
Romantic Relationships,,,Marrying Your Partner,"Your significant other of four years has recently asked how you feel about marriage. You feel very much in love with your significant other, but worry about the high rates of divorce and whether that could happen to you. Reflecting on the idea of marrying your partner, you believe your marriage would make it.",,The likelihood that your marriage would last is:,High,Low,https://drive.google.com/file/d/11jxogFxkqEeS7Kqe9yWTU0EV_JBtB-v4/view?usp=sharing,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. ","If you were to ask your friend on a date, it would not be awkward, and you think your friend would find it flattering",Will your friend be flattered by your invitation for a date?,Yes,No ,https://drive.google.com/file/d/1ge0uSpMcmvzD_Cpmw8O9XZDxmWjnwoVr/view?usp=sharing,1
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number.",Your coworker doesn't seem to be asking for work reasons and will probably use your phone number to ask you out,Does your coworker want to ask you out on a date?,Yes,No,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,1
Romantic Relationships,,,Dating a Stranger ,"You are getting ready to go on a first date with someone you haven't previously met in person. You believe you two have a lot in common, but you are worried that sometimes you become very shy when you are nervous. As you think about going on your first date, you believe that your date will think you are boring.",,"Based on how you think your first date will go, you think you will probably",Regret going out with this person.,Go on a second date together.,https://drive.google.com/file/d/1OqGmVImRpdqbNcBelAsODrEYrVb-M9l3/view?usp=sharing,2
Romantic Relationships,,,Long Distance Relationship,"Your spouse has decided to go back to school at a prestigious program in another state. You love your spouse very much, but you know that long distance relationships can be difficult. When you picture the future of your relationship with your spouse, you believe the two of you will make it work.",,You believe that your spouse and you,Will work together to overcome the challenges presented by the move.,Can't make your relationship work long distance.,https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,2
Romantic Relationships,,,Future Relationships,"You have just broken up with your partner, who you were with longer than any other significant other you've had before. You believe it was for the best, but you also worry if you will ever meet someone else you feel so strongly about. As you think about your future love life, the idea of finding a good life partner seems attainable.",,"After your break up, you think","Eventually, you will meet the person who is right for you.",You will probably never find someone good for you.,https://drive.google.com/file/d/1u8VK0lxAXcrHYFRBYUNiyNZ8oVI3AJUV/view?usp=sharing,2
Romantic Relationships,,,Relationship Worries,"You receive a call from a friend of yours, telling you that he is getting a divorce. You reflect on your own marriage; and though you love your spouse, you got the same impression from your friend and his wife. As you wonder about your future with your spouse, you feel strongly that you two will stick together.",,"When you imagine you and your spouse in the future, you see",The two of you together and happy.,Your marriage having ended.,https://drive.google.com/file/d/1Fq-NpWkRkGr7cLwbrV84SzufV_aWAasr/view?usp=sharing,2
Romantic Relationships,,,Being Single,"You are single. Most of the people in your life are in a relationship. When you think about not having a partner, you feel good. ",N/A,Are you bothered by being single?,No,Yes,https://drive.google.com/file/d/1ENdgUCXH1MKroqKuthjHiqwhKITlbvVt/view?usp=sharing,2
Romantic Relationships,,,Resolving Conflict,"Recently, you and your spouse had a fight. Both of you think you're right, and you're unsure how you're going to resolve the conflict. When you talk next, you will enter the conversation with an open mind. ",N/A,Can you and your spouse resolve your conflict?,Yes,No,https://drive.google.com/file/d/14E87lNQCbYQYaw2WEZUgqpLVllxzh0qo/view?usp=sharing,2
Romantic Relationships,Family & Home Life,,Quality Time,"With kids in the house, you and your spouse don't get to spend a lot of quality time together. You feel as though you and your spouse are drifting apart. You decide to plan a date night just for the two of you. ",N/A,Can you make time for your spouse?,Yes,No,https://drive.google.com/file/d/1ua0IXDIgFaidQOgyF-NjcTO4yHpV6PGf/view?usp=drive_link,2
Romantic Relationships,,,Expressing Your Feelings,Your spouse has been spending a lot of time with their friends lately. You feel as though they would rather hang out with their friends than you. You decide to tell your spouse how you feel. ,N/A,Do you keep your emotions bottled up?,No,Yes,https://drive.google.com/file/d/1u-_r0tB9RIGlIUC3K6ifS1cUbgd25kEk/view?usp=sharing,2
Romantic Relationships,,,Asking Someone Out ,"You are on a long train ride and really hit it off with an attractive person sitting next to you. As the train ride nears an end, you think about how you would really like to see this person again, but you worry that you might come off as being too forward. When you consider asking the other passenger out for coffee, you are fairly sure this person will accept.",,"If you ask the other person to coffee, the other passenger will probably","Accept your offer, because you two had a great time on the train.","Turn you down, because they're not interested in seeing you again.",https://drive.google.com/file/d/15srXsAeVJClkXGw605dER3-IGHMQBtlr/view?usp=sharing,2
Romantic Relationships,,,Dating a Stranger ,"You are getting ready to go on a first date with someone you haven't previously met in person. You believe you two have a lot in common, but you are worried that sometimes you become very shy when you are nervous. ","As you think about going on your first date, you do not think that you will make a bad impression. You believe that your date will think you are interesting.",Will your first date go well?,Yes,No,https://drive.google.com/file/d/1OqGmVImRpdqbNcBelAsODrEYrVb-M9l3/view?usp=sharinghttps://drive.google.com/file/d/1OqGmVImRpdqbNcBelAsODrEYrVb-M9l3/view?usp=sharing,2
Romantic Relationships,,,Asking Someone Out ,"You are on a long train ride and really hit it off with an attractive person sitting next to you. As the train ride nears an end, you think about how you would really like to see this person again, but you worry that you might come off as being too forward. When you consider asking the other passenger out for coffee, you are fairly sure this person will decline.",,You think the two of you will probably,Never see each other again.,Go out to coffee and have a great time.,https://drive.google.com/file/d/15srXsAeVJClkXGw605dER3-IGHMQBtlr/view?usp=sharing,2
Romantic Relationships,Mental Health,,How You Look,You are going on a date with your spouse. You look in the mirror before you leave and you wonder if they will like your look. You realize that the only opinion that matters about your appearance is yours. ,N/A,Does it matter if your spouse likes your look?,No ,Yes,https://drive.google.com/file/d/1FccvJOxJ1IrfcxS0GzHIlNxNV5GiBH3P/view?usp=sharing,
Romantic Relationships,,,Unequal Affection,You have been dating your significant other for a couple months. You start to feel like they might not be as into you as you are into them. You know that this is likely not the case.,,Will you continue to be anxious about this knowing it is not the case?,No,Yes,https://drive.google.com/file/d/16s_pNkWCZTAR4qyc6LpVG01K8roTxBAf/view?usp=sharing,2
Romantic Relationships,Mental Health,,Not Getting a Response,"You notice that your significant other has not been as responsive to your messages recently. This is unlike them, as they typically respond right away. You know they have been extra busy and that is likely why they haven't been responding.",,Will you continue to be anxious about this knowing it is not the case?,No,Yes,https://drive.google.com/file/d/17rH_GNMd_A-EhhTnyOP0pRxCzN2_2J0l/view?usp=sharing,2
Romantic Relationships,,,Feeling Isolated for Being Single,"All of your friends have been dating significant others for a while or are just getting into relationships.  You have not been on a single date. You feel isolated, but know that you will still be able to see your friends even though they are in relationships.",,Will you actually be isolated from your friends?,No,Yes,https://drive.google.com/file/d/10IwT2x7PKJNMjrQQOMsQFFy_LcQIxhmm/view?usp=sharing,2
Romantic Relationships,,,Feeling Lesser Than For Being Single,"All of your friends have been dating significant others for a while or are just getting into relationships.  You have not been on a single date, and you start to wonder why. Even though you're disappointed, you remember that your worth is not defined by your relationship status.",,Is there something wrong with you because you're single? ,No,Yes,https://drive.google.com/file/d/1Hm9HM6UZcXe9iykxGVnan5FJ9uDHPl1i/view?usp=sharing,2
Romantic Relationships,,,Balancing a Significant Other and Friends,"You recently got into a relationship. You are enjoying it, but are having a difficult time balancing time with your friends and your significant other. You are worried your friends will be upset if you do not spend enough time with them, but you remind yourself that you can make time for everyone.",,Will your friends hate you for trying to balance?,No,Yes,https://drive.google.com/file/d/1dYhmsepl6YPtXr1DC4Wy-nWxozoK04Zc/view?usp=sharing,2
